Order	PID	MS SubClass	SalePrice
85	0532354090	085	148000
86	0532376160	020	138500
87	0532377060	020	122000
88	0532377100	020	133000
89	0532378110	020	127000
90	0532479070	020	169000
91	0533130020	060	190000
92	0533130130	060	362500
93	0533130160	060	285000
94	0533205060	120	260000
95	0533208090	160	190000
96	0533210060	160	155000
97	0533212010	160	151000
98	0533212020	160	149500
99	0533212060	160	152000
100	0533213030	020	222000
101	0533221090	160	177500
102	0533221110	160	177000
103	0533223020	160	155000
104	0533223100	160	147110
105	0533238045	020	267916
106	0533244030	060	254000
107	0533253060	120	155000
108	0533253210	120	206000
109	0533352170	060	130500
110	0534102025	020	230000
111	0534129040	020	218500
112	0534151175	060	243500
113	0534152050	020	205000
114	0534152070	050	212500
115	0534152100	060	196500
116	0534176060	020	197500
117	0534176230	060	171000
118	0534202160	020	142250
119	0534251320	020	143000
120	0534276360	020	128950
121	0534401110	020	159000
122	0534401140	020	178900
123	0534403360	080	136300
124	0534403410	080	180500
125	0534425310	085	137500
126	0534427010	090	84900
127	0534430080	020	142125
128	0534431050	050	197600
129	0534431070	050	172500
130	0534450180	020	116500
131	0534451150	030	76500
132	0534475100	020	128000
133	0534476260	080	153000
134	0534479320	020	132000
135	0535101020	085	178000
136	0535106190	090	154300
137	0535125010	020	180000
138	0535126040	020	190000
139	0535152010	090	135000
140	0535152050	020	214000
141	0535152130	020	136000
142	0535152150	020	165500
143	0535152250	020	145000
144	0535153070	020	148000
145	0535154050	020	142000
146	0535175070	020	167500
147	0535175180	020	108538
148	0535179020	020	159500
146	0535175070	020	167500
147	0535175180	020	108538
148	0535179020	020	159500
149	0535180130	050	108000
150	0535302080	020	135000
151	0535302200	020	122500
152	0535304060	190	119000
153	0535304180	020	109000
154	0535325400	030	105000
155	0535327140	020	107500
156	0535350030	020	144900
157	0535350040	020	129000
158	0535353190	050	97500
159	0535377090	090	144000
160	0535401080	020	162000
161	0535425010	080	242000
162	0535450210	050	132000
163	0535453070	020	154000
164	0535454070	050	166000
165	0535456110	020	134800
166	0535457010	020	160000
167	0535457090	020	148000
168	0535476350	020	192000
169	0535477020	060	155000
170	0902102100	050	80400
171	0902104060	050	96500
172	0902106130	030	109500
173	0902106140	030	115000
174	0902110090	020	143000
175	0902125080	050	107400
176	0902125160	030	80000
177	0902128170	030	119000
178	0902206040	050	130000
179	0902206130	045	119000
180	0902206220	050	129000
181	0902206240	050	100000
182	0902207130	030	12789
183	0902207140	030	105900
184	0902305110	070	150000
185	0902327040	050	139000
186	0902329030	070	240000
187	0902401060	190	76500
188	0902402010	020	149700
189	0902402130	070	125500
190	0902402250	190	122500
191	0902403070	070	140750
192	0903204040	050	128500
193	0903206120	075	209500
194	0903225150	030	87000
195	0903226160	050	134000
196	0903227020	050	128000
197	0903227150	050	132000
198	0903228150	050	139900
199	0903232190	050	123900
200	0903233120	050	138400
201	0903234050	030	109500
202	0903425110	070	140000
203	0903426180	050	149500
204	0903426200	070	159900
205	0903430080	070	122000
206	0903450110	090	110000
207	0903454060	190	55000
208	0903476030	190	140000
209	0904100140	070	244400
210	0904101110	020	173000
211	0904300150	050	107500
212	0904302260	190	100000
213	0904350045	050	95000
214	0904351040	070	93369
215	0904352190	190	114900
216	0905101100	050	94000
217	0905101300	090	136000
218	0905101310	090	136500
219	0905102060	190	131500
220	0905103060	020	121500
221	0905104210	020	125000
222	0905105070	020	154000
223	0905105200	020	137900
224	0905106140	060	158000
225	0905106170	020	137250
226	0905107110	090	160250
227	0905107250	060	163000
228	0905107320	060	158900
229	0905109130	060	328000
230	0905109170	020	270000
231	0905201030	030	85000
232	0905202090	020	128000
233	0905325030	040	260000
234	0905352140	060	230000
235	0905378040	050	124000
236	0905426060	030	83000
237	0905426200	020	144500
238	0905451320	020	129000
239	0905452110	050	127000
240	0905452160	020	128000
241	0905453040	020	186000
242	0905453080	020	308030
243	0905475510	020	114000
244	0905478190	020	84900
245	0906201030	060	178000
246	0906201120	020	270000
247	0906204230	060	218000
248	0906223090	060	236000
249	0906225210	085	147000
250	0906378100	020	245350
251	0906380190	020	206000
252	0906385010	020	198900
253	0906385020	020	187000
254	0906402200	060	320000
255	0906425045	050	138500
256	0906477110	080	155000
257	0907125090	085	159000
258	0907180050	060	191000
259	0907185060	060	200500
260	0907200280	020	150000
261	0907200290	060	161750
262	0907200340	020	128200
263	0907203070	020	127000
264	0907250030	020	318000
265	0907252120	020	272000
266	0907262050	060	237000
267	0907280040	060	240000
268	0907290040	020	224900
269	0907290170	120	143750
270	0907290240	120	143000
271	0907401090	020	232000
272	0907410080	020	213000
273	0907414030	020	185500
274	0908102060	030	84900
275	0908102110	020	155891
276	0908102130	090	100000
277	0908102170	020	144000
278	0908102300	050	64000
279	0908103350	080	125200
280	0908152080	080	107000
281	0908203100	020	90000
282	0908208020	020	140000
283	0908225320	050	113000
284	0908226130	190	80000
285	0908275300	020	144500
286	0909100080	030	104000
287	0909100110	070	128000
288	0909101070	030	58500
289	0909176140	050	127000
290	0909176150	030	126000
291	0909177100	090	160000
292	0909250030	050	100000
293	0909250060	050	169000
294	0909281080	050	257500
295	0909426080	090	215000
296	0909427230	070	266500
297	0909428280	020	335000
298	0909452114	080	203135
299	0909455030	120	185000
300	0909455040	120	162500
301	0909475140	020	289000
302	0910202060	050	125500
303	0910203250	030	82000
304	0910205120	050	110000
305	0911128180	050	68400
306	0911202100	050	102776
307	0911204090	020	55993
308	0911204100	030	50138
309	0911370510	120	246000
310	0914467040	060	254900
311	0914475090	080	190000
312	0914476520	020	201000
313	0914478045	080	169900
314	0914478110	090	170000
315	0916125360	020	160000
316	0916386010	020	220000
317	0916386020	020	179781
318	0916386060	060	174000
319	0916386090	060	269500
320	0916455170	060	214900
321	0916475110	060	202900
322	0921128020	020	378500
323	0923201020	020	169000
324	0923202105	020	173500
325	0923204150	090	139000
326	0923205015	020	166500
327	0923225300	160	83500
328	0923225390	120	119500
329	0923225440	160	85000
330	0923226250	160	76000
331	0923226320	180	75500
332	0923228270	160	88250
333	0923228370	160	85500
334	0923230190	020	130000
335	0923251080	020	157900
336	0923276030	020	149900
337	0923276250	090	159000
338	0923426070	060	136000
339	0924100050	050	161000
340	0924151040	020	285000
341	0924152030	060	231000
342	0526302110	020	124500
343	0526351100	020	157000
344	0526355080	080	345000
345	0527105070	060	189500
346	0527105130	060	270000
347	0527107130	080	189000
348	0527108070	020	377500
349	0527110020	080	168500
350	0527127100	120	375000
351	0527131030	120	278000
352	0527132090	120	240000
353	0527146010	120	239500
354	0527161040	080	177500
355	0527162110	060	185000
356	0527162120	060	191000
357	0527163040	060	178000
358	0527163070	060	185000
359	0527163130	060	181316
360	0527164020	020	166000
361	0527164060	060	178000
362	0527164090	060	174000
363	0527165130	020	173000
364	0527166010	060	225000
365	0527180100	020	180500
366	0527182110	120	187500
367	0527214050	020	501837
368	0527254020	020	372500
369	0527258020	020	260000
370	0527276160	060	185000
371	0527301320	060	260000
372	0527302175	020	181000
373	0527326040	020	82500
374	0527326150	020	215000
375	0527352150	060	154000
376	0527353020	020	200000
377	0527353060	060	249000
378	0527354100	080	187500
379	0527354200	020	184000
380	0527355150	020	278000
381	0527356040	020	157000
382	0527359050	020	152000
383	0527359180	060	197500
384	0527364030	060	240900
385	0527365030	060	263435
386	0527366030	060	220000
387	0527368010	060	235000
388	0527375100	020	213000
389	0527375180	020	167900
390	0527375210	020	158000
391	0527376100	020	165000
392	0527378140	080	158000
393	0527401160	090	136000
394	0527402220	020	148500
395	0527403040	020	156000
396	0527404020	020	128000
397	0527404030	020	143000
398	0527405130	020	76500
399	0527405160	020	120500
400	0527405180	020	124500
401	0527425060	020	97000
402	0527425110	020	130000
403	0527450280	160	111000
404	0527451110	160	125000
405	0527451320	160	112000
406	0527451540	160	97000
407	0527451640	160	118000
408	0527451650	160	119500
409	0527452060	120	143750
410	0527453050	160	146000
411	0527453060	160	148500
412	0527453140	120	123000
413	0527454050	160	147000
414	0527454130	160	137900
415	0527455050	160	147000
416	0527455060	160	148500
417	0527455080	160	138000
418	0527455090	120	128500
419	0527455240	020	100000
420	0527455280	020	148800
421	0528102040	020	337500
422	0528102140	060	462000
423	0528104070	060	485000
424	0528106020	020	555000
425	0528106070	020	325000
426	0528108010	020	256300
427	0528108020	020	253293
428	0528108040	060	398800
429	0528108070	060	335000
430	0528108130	020	404000
431	0528108140	020	402861
432	0528110010	060	451950
433	0528110020	020	610000
434	0528110090	060	582933
435	0528112040	020	360000
436	0528116010	020	296000
437	0528118060	060	409900
438	0528120020	020	255500
439	0528120030	020	335000
440	0528120160	020	274900
441	0528120170	020	300000
442	0528138010	020	324000
443	0528142040	060	350000
444	0528142090	020	280000
445	0528142130	020	284000
446	0528142150	020	269500
447	0528144020	020	233170
448	0528166060	020	386250
449	0528166090	020	445000
450	0528168030	060	290000
451	0528172060	020	255900
452	0528174050	120	213000
453	0528174060	120	196000
454	0528174070	120	184500
455	0528175050	120	212500
456	0528175060	120	230000
457	0528176030	020	552000
458	0528178010	020	382500
459	0528180120	120	320000
460	0528180130	120	248500
461	0528186010	020	286500
462	0528186180	120	254000
463	0528188020	120	173000
464	0528188060	160	173000
465	0528218090	060	184000
466	0528220040	060	167800
467	0528221060	060	174000
468	0528221070	060	174000
469	0528228290	120	174000
470	0528228295	120	175900
471	0528228435	120	192500
472	0528228450	120	181000
473	0528228455	120	180000
474	0528228460	120	160200
475	0528235010	060	188500
476	0528235090	060	200000
477	0528235200	080	170000
478	0528240030	060	189500
479	0528240060	080	184100
480	0528240150	060	195500
481	0528250020	060	192000
482	0528250040	060	178000
483	0528253010	120	207500
484	0528275070	060	236000
485	0528275160	060	257500
486	0528280230	060	244000
487	0528290030	080	167000
488	0528290120	060	179000
489	0528290180	060	190000
490	0528290190	080	156000
491	0528292030	060	245000
492	0528292040	060	181000
493	0528292070	060	214000
494	0528294050	080	168000
495	0528315090	060	337000
496	0528321010	060	403000
497	0528327070	060	327000
498	0528344040	060	340000
499	0528344100	060	336000
500	0528354050	060	265000
501	0528363050	020	315000
502	0528365070	060	260000
503	0528385050	060	260000
504	0528387030	060	263550
505	0528390100	060	402000
506	0528390210	060	248000
507	0528427020	020	244600
508	0528431020	020	275000
509	0528431070	020	257500
510	0528435030	020	287090
511	0528435050	020	275500
512	0528439060	020	245000
513	0528441020	060	253000
514	0528441090	020	468000
515	0528456180	060	252678
516	0528456220	060	210000
517	0528456240	020	208300
518	0528458020	020	225000
519	0528458040	020	229456
520	0528458060	020	229800
521	0528458140	020	250000
522	0528458160	020	370878
523	0528458180	020	238500
524	0528477050	060	310000
525	0528477070	060	270000
526	0528480040	060	252000
527	0528480130	060	241000
528	0528480170	020	264500
529	0528482040	020	291000
530	0528482130	060	263000
531	0528488100	020	185000
532	0528490040	020	234500
533	0528490070	060	209000
534	0531363010	020	159000
535	0531363030	020	152000
536	0531363050	020	143500
537	0531369010	060	193000
538	0531369020	020	203000
539	0531371050	020	184900
540	0531375040	020	159000
541	0531375090	020	142000
542	0531375130	020	153000
543	0531376090	020	224243
544	0531379050	060	220000
545	0531382070	020	257000
546	0531385020	020	189000
547	0531450120	060	171500
548	0531452010	160	120000
549	0531452070	120	145000
550	0531452260	060	184000
551	0531453100	060	162000
552	0531475220	090	160000
553	0531477020	020	82000
554	0531479020	045	76000
555	0532353020	020	110000
556	0532353130	020	135000
557	0532354160	020	141000
558	0532354230	020	122000
559	0532376070	020	124100
560	0532376110	020	129000
561	0532377130	020	131400
562	0532378120	020	62383
563	0532378180	020	123000
564	0532478020	020	275000
565	0533135020	060	235000
566	0533206020	160	280750
567	0533210010	160	164500
568	0533210020	160	173733
569	0533213010	120	222000
570	0533213020	120	195000
571	0533213040	160	172500
572	0533221040	160	180000
573	0533223030	160	156000
574	0533236050	160	172500
575	0533252040	020	318750
576	0533253070	120	211500
577	0533254050	020	241600
578	0533254110	080	180500
579	0533352150	020	150000
580	0534125080	060	154000
581	0534127130	020	185000
582	0534127170	020	185750
583	0534128010	060	200000
584	0534128020	060	206000
585	0534128100	060	162000
586	0534128190	060	256900
587	0534129080	080	197900
588	0534129370	020	163000
589	0534129380	020	113000
590	0534151120	060	230000
591	0534152120	020	167900
592	0534175080	020	213250
593	0534177230	060	227000
594	0534200030	020	130000
595	0534202170	020	143000
596	0534226120	020	117500
597	0534250400	060	168500
598	0534251030	085	172500
599	0534252240	020	161500
600	0534275060	020	141500
601	0534275100	020	118000
602	0534276040	020	127500
603	0534277090	020	140000
604	0534278070	020	177625
605	0534278230	090	110000
606	0534400050	020	167000
607	0534400290	020	153000
608	0534402060	020	145100
609	0534402140	020	154000
610	0534402170	060	177500
611	0534403370	080	158000
612	0534426110	020	124500
613	0534429150	080	174500
614	0534431130	020	122000
615	0534450150	030	82500
616	0534451110	050	110000
617	0534475185	020	149500
618	0534475250	020	175000
619	0534476150	020	167000
620	0534476320	020	128900
621	0534477110	050	140000
622	0534478230	020	147000
623	0535101120	090	124000
624	0535104120	020	187500
625	0535105100	020	159000
626	0535125070	020	256000
627	0535125090	060	205000
628	0535126010	060	193500
629	0535126100	020	110000
630	0535150070	050	104900
631	0535151040	020	150000
632	0535152230	020	156500
633	0535154060	020	176000
634	0535154130	020	149500
635	0535175030	020	139000
636	0535175050	020	155000
637	0535178040	020	120000
638	0535178120	020	153000
639	0535179160	020	144000
640	0535300120	080	176000
641	0535301170	020	153000
642	0535302120	090	135000
643	0535303110	020	131000
644	0535303150	020	123000
645	0535304100	020	126000
646	0535325290	020	115000
647	0535351050	020	164900
648	0535352090	030	113000
649	0535353040	020	145500
650	0535353060	020	102900
651	0535353140	190	95000
652	0535353240	060	152500
653	0535354070	020	129900
654	0535354100	020	132000
655	0535375010	020	99900
656	0535375050	050	135000
657	0535376060	060	149000
658	0535377150	070	114000
659	0535378020	030	109500
660	0535378120	030	125000
661	0535381040	050	142900
662	0535382100	070	156500
663	0535383060	030	59000
664	0535383070	050	105000
665	0535383110	030	106000
666	0535383120	030	78500
667	0535402010	090	190000
668	0535402090	020	154000
669	0535402270	020	163000
670	0535402330	090	200000
671	0535403190	020	143500
672	0535403210	020	135000
673	0535403280	020	153000
674	0535425070	020	157500
675	0535426150	020	113500
676	0535450070	040	133000
677	0535450160	090	92900
678	0535450200	050	128500
679	0535451170	090	90000
680	0535451250	050	138000
681	0535452090	020	128000
682	0535452100	020	139000
683	0535452140	020	118900
684	0535453100	080	138000
685	0535453200	020	132500
686	0535454100	050	133500
687	0535454160	050	135000
688	0535475010	060	144750
689	0535476110	090	145000
690	0535476240	020	127000
691	0535477150	020	109500
692	0902101010	050	115000
693	0902102080	050	110000
694	0902103100	050	128900
695	0902103120	090	103500
696	0902103170	050	66500
697	0902105050	050	130000
698	0902105060	070	129000
699	0902106010	070	150000
700	0902106060	070	107500
701	0902109130	190	94550
702	0902109140	090	124500
703	0902110080	060	135000
704	0902134120	050	103000
705	0902135020	020	93000
706	0902201110	050	129500
707	0902202150	190	93000
708	0902204080	030	80000
709	0902205010	030	45000
710	0902205030	050	37900
711	0902206260	030	91300
712	0902207170	030	99500
713	0902300090	190	113000
714	0902301060	070	87500
715	0902301080	050	110000
716	0902325070	075	106000
717	0902326030	070	265979
718	0902327070	070	160000
719	0902329080	070	119000
720	0902330040	070	168000
721	0902331010	030	58500
722	0902401130	070	143000
723	0902402150	030	85000
724	0902405100	050	124900
725	0902405120	050	119000
726	0902406070	070	146500
727	0902477120	030	34900
728	0902477130	030	44000
729	0903200080	070	223500
730	0903201020	030	149000
731	0903201080	050	205000
732	0903202170	070	137000
733	0903205040	030	121000
734	0903226130	050	128000
735	0903226170	050	134900
736	0903227070	050	117000
737	0903227090	050	132500
738	0903228070	050	93000
739	0903228120	045	119000
740	0903230100	030	100000
741	0903231010	050	141500
742	0903231030	050	133000
743	0903231060	030	60000
744	0903231130	030	105000
745	0903232060	030	115000
746	0903234220	050	150000
747	0903236040	030	126500
748	0903400220	075	214500
749	0903425245	070	167500
750	0903427120	070	155000
751	0903429080	070	155000
752	0903429110	070	179900
753	0903430060	075	104000
754	0903430070	090	62500
755	0903451090	070	149000
756	0903458170	030	103000
757	0903475100	070	123000
758	0903476090	190	97500
759	0903481120	050	135000
760	0903481130	085	70000
761	0903484110	190	116000
762	0904100190	020	88750
763	0904301060	090	179000
764	0904301070	090	179000
765	0904301100	090	159900
766	0904301375	030	61000
767	0904351200	070	103600
768	0904351240	050	63000
769	0905101260	080	175000
770	0905101490	020	139000
771	0905103040	060	172500
772	0905103070	020	113500
773	0905105190	020	130000
774	0905107310	085	149900
775	0905108190	085	134900
776	0905108220	085	137000
777	0905200220	020	139000
778	0905200260	080	165000
779	0905200350	080	148000
780	0905225090	080	165000
781	0905228050	020	63900
782	0905229040	050	161500
783	0905325020	020	143000
784	0905377010	020	135000
785	0905377130	030	82500
786	0905401100	020	190000
787	0905402060	020	139600
788	0905402070	020	122000
789	0905450020	020	127500
790	0905451300	020	121500
791	0905451340	020	60000
792	0905452040	060	154400
793	0905452050	030	113000
794	0905475160	020	125000
795	0905475500	020	84000
796	0905476230	120	139500
797	0905478030	050	131000
798	0905480030	050	105000
799	0905480210	070	108000
800	0906201021	080	162000
801	0906201050	080	156500
802	0906201130	050	316600
803	0906203120	020	271900
804	0906223060	060	213000
805	0906223080	060	239900
806	0906223210	060	239500
807	0906226060	070	131000
808	0906226070	090	118964
809	0906226080	090	153337
810	0906226090	090	147983
811	0906226100	090	118858
812	0906226110	090	118858
813	0906226120	090	142953
814	0906226130	090	148325
815	0906226140	090	113722
816	0906230010	090	269500
817	0906230020	090	269500
818	0906230030	090	269500
819	0906340100	020	323262
820	0906340110	020	297000
821	0906340120	020	295493
822	0906340130	020	332000
823	0906378110	020	239900
824	0906380050	060	212000
825	0906380060	020	272500
826	0906380100	020	239000
827	0906380130	020	220000
828	0906380210	020	200000
829	0906380220	020	221800
830	0906392070	020	194500
831	0906392110	020	237000
832	0906392130	060	173000
833	0906402060	080	275000
834	0906426210	060	233500
835	0906475070	060	185000
836	0907126010	020	152000
837	0907126050	020	143000
838	0907130100	060	231500
839	0907131090	060	212000
840	0907131190	020	207000
841	0907135040	020	145000
842	0907135170	020	138000
843	0907175100	060	197900
844	0907180130	020	204000
845	0907181100	020	192000
846	0907185050	060	200000
847	0907192030	060	195000
848	0907192090	020	227000
849	0907194010	060	230000
850	0907194110	020	187100
851	0907194160	020	203000
852	0907196060	020	201000
853	0907200230	020	124000
854	0907201220	020	140000
855	0907201280	020	134900
856	0907202050	020	150500
857	0907202080	020	136500
858	0907202130	020	143500
859	0907227030	020	133500
860	0907227080	020	123000
861	0907227110	085	133900
862	0907227290	085	133000
863	0907250070	020	250000
864	0907252060	060	254750
865	0907252210	020	236500
866	0907252220	060	261500
867	0907253130	060	313000
868	0907260030	060	198500
869	0907265010	060	211000
870	0907275010	020	220000
871	0907275090	020	203000
872	0907275140	020	279500
873	0907280170	020	210000
874	0907285020	060	219500
875	0907285050	060	191000
876	0907290070	020	178000
877	0907290090	020	213000
878	0907290180	120	144000
879	0907290210	120	140000
880	0907410130	020	293200
881	0907412020	060	190000
882	0907414020	020	190000
883	0907414080	060	173500
884	0907420040	060	170000
885	0908102050	020	108000
886	0908102270	020	167000
887	0908102290	020	100000
888	0908128060	085	198500
889	0908151050	060	159500
890	0908152035	020	127000
891	0908152100	080	125000
892	0908154040	020	320000
893	0908186080	180	145500
894	0908201040	020	118000
895	0908203090	020	85000
896	0908225290	020	120000
897	0908225370	050	98000
898	0908229020	030	99900
899	0908250030	020	82000
900	0908275040	090	119900
901	0908275110	020	103500
902	0908276150	020	112000
903	0909101010	050	110000
904	0909101100	050	122000
905	0909101140	050	117000
906	0909129090	050	160000
907	0909129100	050	159434
908	0909175080	030	60000
909	0909178160	050	139500
910	0909179020	075	197000
911	0909250080	070	105000
912	0909250220	050	135000
913	0909251050	030	147500
914	0909251170	050	137450
915	0909252020	070	155000
916	0909253010	050	177000
917	0909253180	050	145000
918	0909254010	070	137000
919	0909257050	070	234000
920	0909275080	050	205000
921	0909276110	070	177500
922	0909276200	050	160000
923	0909277090	020	155000
924	0909277100	030	163500
925	0909278020	050	154900
926	0909279010	090	205000
927	0909282130	020	144800
928	0909425060	070	174500
929	0909425130	020	193000
930	0909426090	050	158000
931	0909427200	020	158500
932	0909428240	020	224000
933	0909451040	160	115000
934	0909451100	160	137000
935	0909451140	160	121000
936	0909451180	160	124000
937	0909452050	080	208000
938	0909475040	020	315000
939	0909475300	020	222000
940	0910202070	070	147000
941	0910204050	070	123000
942	0910205020	070	78000
943	0911103050	050	85000
944	0911104060	030	75000
945	0911370500	120	230000
946	0912251110	030	57625
947	0914465020	060	251000
948	0914465040	050	239686
949	0914465055	020	240000
950	0914474070	060	215000
951	0914475010	085	156450
952	0914475030	085	173000
953	0914476020	090	126000
954	0914476380	080	173000
955	0914476430	020	152000
956	0916176030	020	137500
957	0916176125	020	375000
958	0916380070	020	315500
959	0916382010	060	224500
960	0916382100	020	410000
961	0916382110	020	316500
962	0916386140	020	201000
963	0916403010	020	175000
964	0916403200	060	204000
965	0916403250	080	213500
966	0916455070	020	220000
967	0916460110	060	170000
968	0916475040	020	315000
969	0921128050	020	425000
970	0923201100	020	139500
971	0923202060	020	115000
972	0923203110	120	162000
973	0923203190	120	165000
974	0923225360	180	91000
975	0923225490	020	130000
976	0923226270	180	86000
977	0923227080	020	160000
978	0923228110	180	80000
979	0923228150	160	97000
980	0923228230	160	88000
981	0923230200	085	131900
982	0923252075	080	131250
983	0923275040	085	165500
984	0923275140	020	112000
985	0923276260	085	149000
986	0923400025	050	143000
987	0923400110	060	130000
988	0924100040	020	196000
989	0924100060	060	173000
990	0526351030	020	176500
991	0526353050	020	237500
992	0526354070	060	206900
993	0527105050	060	187500
994	0527106050	060	165000
995	0527106140	060	195500
996	0527106150	060	192000
997	0527107010	060	173000
998	0527107090	020	177900
999	0527107210	060	175000
1000	0527127140	120	286000
1001	0527131110	120	247900
1002	0527140090	120	180000
1003	0527145090	120	180000
1004	0527161010	060	181000
1005	0527162180	060	183000
1006	0527163100	060	188000
1007	0527164120	060	194500
1008	0527165010	060	185000
1009	0527183030	120	189000
1010	0527183060	120	188500
1011	0527208010	060	355000
1012	0527212050	060	325000
1013	0527214030	020	387000
1014	0527226020	020	115000
1015	0527252080	120	334000
1016	0527276040	020	133000
1017	0527301170	060	215000
1018	0527301245	020	226500
1019	0527302050	020	175500
1020	0527302070	020	181900
1021	0527302185	020	235000
1022	0527302210	020	220000
1023	0527325070	060	272000
1024	0527325240	020	161000
1025	0527326130	020	175000
1026	0527354160	060	185000
1027	0527357110	060	146900
1028	0527357180	060	292500
1029	0527358120	020	180000
1030	0527359030	020	159900
1031	0527359070	060	205000
1032	0527378020	020	157000
1033	0527380240	060	306000
1034	0527401130	090	133000
1035	0527402060	020	151000
1036	0527402130	020	111900
1037	0527403360	020	123000
1038	0527425035	020	111250
1039	0527427110	120	181000
1040	0527450110	160	103400
1041	0527450250	160	100000
1042	0527450520	160	100500
1043	0527451060	160	106000
1044	0527451290	160	85400
1045	0527451400	160	89500
1046	0527451550	160	111750
1047	0527452150	120	140000
1048	0527453160	160	143000
1049	0527454120	120	148500
1050	0527455270	020	110000
1051	0528102030	020	394617
1052	0528102110	060	426000
1053	0528104050	020	385000
1054	0528104080	060	446261
1055	0528108150	020	317500
1056	0528110080	020	372402
1057	0528110110	020	417500
1058	0528114040	020	383000
1059	0528118030	060	390000
1060	0528118090	060	460000
1061	0528120130	060	379000
1062	0528142020	060	250000
1063	0528142140	060	316000
1064	0528164060	020	615000
1065	0528166120	060	412500
1066	0528170070	060	284000
1067	0528172080	020	284000
1068	0528178070	060	421250
1069	0528178090	060	370000
1070	0528180110	120	336860
1071	0528180140	120	367294
1072	0528181010	120	192000
1073	0528186030	120	274000
1074	0528186080	120	266000
1075	0528186130	120	370967
1076	0528186160	120	234250
1077	0528186170	120	219500
1078	0528188090	160	155000
1079	0528188150	160	154000
1080	0528190010	120	207000
1081	0528228345	120	195000
1082	0528228405	120	219990
1083	0528228445	120	191000
1084	0528228465	020	159895
1085	0528228540	020	187687
1086	0528235020	060	179000
1087	0528235120	060	193000
1088	0528235180	080	190000
1089	0528240040	060	176000
1090	0528240050	060	188000
1091	0528250030	060	213000
1092	0528253020	120	217300
1093	0528280130	060	186500
1094	0528280180	060	226750
1095	0528290010	060	184000
1096	0528290090	060	176000
1097	0528292060	060	225000
1098	0528294060	060	185900
1099	0528315060	075	284500
1100	0528315110	060	315000
1101	0528326030	060	250000
1102	0528326110	060	291000
1103	0528346050	020	350000
1104	0528354100	060	279500
1105	0528363020	060	290000
1106	0528363110	020	350000
1107	0528365060	060	341000
1108	0528365080	060	287500
1109	0528387050	060	271000
1110	0528390020	020	301500
1111	0528427010	020	235128
1112	0528427070	060	214000
1113	0528429050	020	232000
1114	0528429070	020	240000
1115	0528429080	020	264132
1116	0528431060	020	245000
1117	0528431080	020	227680
1118	0528431120	060	257000
1119	0528435020	060	297900
1120	0528439010	020	247000
1121	0528458030	020	212700
1122	0528458050	020	250580
1123	0528462040	020	182000
1124	0528477040	060	226700
1125	0528478030	060	250000
1126	0528478040	060	250000
1127	0528480060	060	339750
1128	0528480160	060	205950
1129	0528482020	020	256000
1130	0528488140	020	230348
1131	0528490080	060	207500
1132	0531363060	020	141000
1133	0531371070	060	188000
1134	0531373060	060	192500
1135	0531375050	020	146000
1136	0531375110	020	159000
1137	0531375120	020	155000
1138	0531376010	060	173000
1139	0531376070	020	170000
1140	0531382090	060	182000
1141	0531382110	060	163000
1142	0531382120	020	193500
1143	0531384030	060	189000
1144	0531385060	060	190500
1145	0531450030	060	175000
1146	0531450090	020	179200
1147	0531450170	060	187000
1148	0531451020	120	193000
